,state,region,id,zip,city,latitude,longitude,type,url,domain,first.type,expense.percent,financial.rating,financial.rating.fye,accountability.rating,accountability.rating.fye,rating,fundraising.expense,admin.expense,contributions,revenue,rating.fye,overhead
1,IL,illinois,org10000.htm,60008,Rolling Meadows,42.07506,-88.02508,Religion : Religious Activities,http://www.warmblankets.org,warmblankets.org,Religion ,0.059,0.8612,3,0.81,3,0.8336,5.9,5.9,3865008,3865881,3,11.8
2,NJ,new jersey,org10001.htm,8609,Trenton,40.224441,-74.7421,Human Services : Social Services,http://www.trentonsoupkitchen.org/,trentonsoupkitchen.org,Human Services ,0.068,0.9295,4,1,4,0.9501,6.8,8.9,3032363,3113407,4,15.7
3,VT,vermont,org10002.htm,5158,Westminster,43.093695,-72.45054,"Human Services : Youth Development, Shelter, and Crisis Services",http://www.kurnhattin.org/,kurnhattin.org,Human Services ,0.094,0.8366,3,0.89,3,0.8607,9.4,8.2,1112135,3860665,3,17.6
4,MA,massachusetts,org10003.htm,1608,Worcester,42.261343,-71.80173,Community Development : Fundraising,http://www.unitedwaycm.org/,unitedwaycm.org,Community Development ,0.139,0.7553,2,0.93,4,0.82,13.9,7.9,6504806,6816108,3,21.8
5,MA,massachusetts,org10006.htm,2138,Cambridge,42.379146,-71.12803,Education : Other Education Programs and Services,http://harvardmagazine.com/,harvardmagazine.com,Education ,0.135,0.7648,2,0.97,4,0.8323,13.5,18.5,2637188,4219147,3,32
6,IL,illinois,org10007.htm,60613,Chicago,41.953256,-87.6629,International : Development and Relief Services,http://www.coffeekids.org/,coffeekids.org,International ,0.237,0.6836,1,0.81,3,0.739,23.7,4.3,974831,975570,2,28
7,NA,NA,org10008.htm,20005,Washington,38.904461,-77.03088,Research and Public Policy : Social and Public Policy Research,http://ourpublicservice.org/OPS/,ourpublicservice.org,Research and Public Policy ,0.106,0.8752,3,0.89,3,0.8823,10.6,1.7,3546878,8579617,3,12.3
8,NY,new york,org10010.htm,10016,New York,40.74618,-73.97759,"Health : Diseases, Disorders, and Disciplines",http://www.skincancer.org/,skincancer.org,Health ,0.062,0.965,4,0.77,2,0.8354,6.2,3.7,7423161,8038183,3,9.9
9,NY,new york,org10011.htm,10016,New York,40.74618,-73.97759,International : Foreign Charity Support Organizations,http://www.elem.org,elem.org,International ,0.109,0.6536,1,0.81,3,0.7206,10.9,10.3,1041844,1051129,2,21.2
10,NY,new york,org10013.htm,10006,New York,40.707904,-74.01342,Human Services : Multipurpose Human Service Organizations,http://www.newyorkcares.org,newyorkcares.org,Human Services ,0.089,0.9603,4,1,4,0.9719,8.9,5.6,14141024,14416491,4,14.5
11,NY,new york,org10016.htm,10017,New York,40.752159,-73.97231,"Human Services : Youth Development, Shelter, and Crisis Services",http://www.madisonsquare.org/,madisonsquare.org,Human Services ,0.095,0.9185,4,0.96,4,0.9358,9.5,10.4,11686261,13852354,4,19.9
12,CA,california,org10017.htm,91602,North Hollywood,34.152476,-118.36841,Community Development : Fundraising,http://www.wrinstitute.org/,wrinstitute.org,Community Development ,0.115,0.6945,1,0.93,4,0.7783,11.5,10.2,3013393,5328789,2,21.7
13,NY,new york,org10018.htm,14701,Jamestown,42.09179,-79.24459,Community Development : Fundraising,http://www.uwayscc.org,uwayscc.org,Community Development ,0.111,0.8141,3,0.89,3,0.8472,11.1,5.7,1252900,1093224,3,16.8
14,NJ,new jersey,org10019.htm,7733,Holmdel,40.384832,-74.17194,Community Development : Fundraising,http://www.jewishmonmouth.org/,jewishmonmouth.org,Community Development ,0.147,0.6667,1,1,4,0.7643,14.7,9.9,1907524,2359390,2,24.6
15,NJ,new jersey,org10020.htm,7753,Neptune,40.208945,-74.05261,Community Development : Fundraising,http://www.umhfoundation.org/,umhfoundation.org,Community Development ,0.176,0.6132,1,0.77,2,0.6817,17.6,19.1,944492,1494612,1,36.7
16,NJ,new jersey,org10022.htm,7030,Hoboken,40.744851,-74.03294,Human Services : Children's and Family Services,http://www.goodcounselhomes.org,goodcounselhomes.org,Human Services ,0.145,0.8152,3,0.96,4,0.8663,14.5,10.9,3441262,3813038,3,25.4
17,PA,pennsylvania,org10024.htm,18104,Allentown,40.601996,-75.52104,Community Development : Fundraising,http://www.jewishlehighvalley.org/,jewishlehighvalley.org,Community Development ,0.092,0.7914,2,1,4,0.8524,9.2,14.4,2647815,3093298,3,23.6
18,FL,florida,org10025.htm,33407,West Palm Beach,26.750991,-80.07296,"Human Services : Youth Development, Shelter, and Crisis Services",http://www.bgcpbc.org/,bgcpbc.org,Human Services ,0.067,0.9274,4,0.96,4,0.9413,6.7,6.8,9123762,10604737,4,13.5
19,CT,connecticut,org10028.htm,6103,Hartford,41.767049,-72.67433,Community Development : Fundraising,http://www.letsgoarts.org,letsgoarts.org,Community Development ,0.122,0.7986,2,0.97,4,0.856,12.2,1.8,3413502,4185477,3,14
20,IN,indiana,org10032.htm,46805,Fort Wayne,41.098248,-85.12061,"Arts, Culture, Humanities : Public Broadcasting and Media",http://www.wfwa.org,wfwa.org,"Arts, Culture, Humanities ",0.214,0.7998,2,1,4,0.8584,21.4,13.5,2514019,3005896,3,34.9
21,FL,florida,org10033.htm,34711,Clermont,28.545742,-81.74805,Human Services : Multipurpose Human Service Organizations,http://www.sofl.org/,sofl.org,Human Services ,0.147,0.9307,4,0.93,4,0.9303,14.7,4.4,6822673,8582294,4,19.1
22,MI,michigan,org10034.htm,49503,Grand Rapids,42.964176,-85.65885,Human Services : Social Services,http://www.seniorneighbors.org/,seniorneighbors.org,Human Services ,0.072,0.7615,2,0.96,4,0.8289,7.2,7.1,1033000,2421337,3,14.3
23,IL,illinois,org10035.htm,60565,Naperville,41.728738,-88.12824,Environment : Environmental Protection and Conservation,http://www.theconservationfoundation.org/,theconservationfoundation.org,Environment ,0.148,0.7975,2,0.96,4,0.854,14.8,6.7,891769,1340739,3,21.5
24,NM,new mexico,org10037.htm,87740,Raton,36.78767,-104.38693,Human and Civil Rights : Advocacy and Education,http://www.nrawc.org,nrawc.org,Human and Civil Rights ,0.165,0.7055,2,0.82,3,0.7559,16.5,12.8,1115108,3384840,2,29.3
25,AL,alabama,org10038.htm,35146,Springville,33.781133,-86.45052,"Human Services : Youth Development, Shelter, and Crisis Services",http://www.bigoak.org/,bigoak.org,Human Services ,0.088,0.9014,4,0.85,3,0.873,8.8,13.9,6893682,7697236,3,22.7
26,PA,pennsylvania,org10040.htm,15901,Johnstown,40.325374,-78.91485,Community Development : Fundraising,http://www.uwlaurel.org/,uwlaurel.org,Community Development ,0.139,0.8337,3,0.93,4,0.8724,13.9,4.9,1335295,1376316,3,18.8
27,CA,california,org10046.htm,92114,San Diego,32.706954,-117.0542,Human Services : Social Services,http://www.secondchanceprogram.org/,secondchanceprogram.org,Human Services ,0.115,0.8704,3,1,4,0.9083,11.5,11.6,3332013,3996366,4,23.1
28,OH,ohio,org10047.htm,45805,Lima,40.739517,-84.14468,Community Development : Fundraising,http://www.unitedwaylima.org,unitedwaylima.org,Community Development ,0.079,0.8379,3,0.93,4,0.8751,7.9,8,1850983,1996791,3,15.9
29,OH,ohio,org10048.htm,44120,Cleveland,41.472352,-81.58211,"Environment : Botanical Gardens, Parks, and Nature Centers",http://www.shakerlakes.org/,shakerlakes.org,Environment ,0.087,0.907,4,0.86,3,0.8811,8.7,12,955530,1126322,3,20.7
30,IN,indiana,org10049.htm,46634,South Bend,41.596769,-86.292991,Human Services : Homeless Services,http://www.hopesb.org/,hopesb.org,Human Services ,0.109,0.7694,2,0.73,2,0.7489,10.9,7.6,1456273,1523810,2,18.5
31,IN,indiana,org10050.htm,47201,Columbus,39.185341,-85.9456,Community Development : Fundraising,http://www.uwbarthco.org/,uwbarthco.org,Community Development ,0.091,0.7635,2,1,4,0.8327,9.1,7.6,3133880,2975953,3,16.7
32,IL,illinois,org10053.htm,60433,Joliet,41.511644,-88.05698,Human Services : Homeless Services,http://www.morningstarmission.org,morningstarmission.org,Human Services ,0.107,0.6997,1,0.85,3,0.7626,10.7,14.4,5478018,6750104,2,25.1
33,IL,illinois,org10054.htm,60601,Chicago,41.886456,-87.62325,Human and Civil Rights : Advocacy and Education,http://www.cfw.org/,cfw.org,Human and Civil Rights ,0.092,0.9879,4,1,4,0.9914,9.2,2.7,9010234,9667255,4,11.9
34,MN,minnesota,org10055.htm,55408,Minneapolis,44.947515,-93.28742,Community Development : Housing and Neighborhood Development,http://www.urbanventures.org/,urbanventures.org,Community Development ,0.076,0.855,3,1,4,0.8974,7.6,12.3,2732514,3479170,3,19.9
35,MI,michigan,org10057.htm,48912,Lansing,42.734434,-84.52497,Community Development : Fundraising,http://www.micauw.org/,micauw.org,Community Development ,0.099,0.7379,2,1,4,0.8146,9.9,8.5,3251917,3527139,3,18.4
36,MI,michigan,org10058.htm,48104,Ann Arbor,42.266805,-83.72297,Community Development : Fundraising,http://www.uwwashtenaw.org/,uwwashtenaw.org,Community Development ,0.094,0.8939,3,1,4,0.9249,9.4,6.5,6019275,6229733,4,15.9
37,MI,michigan,org10059.htm,49254,Michigan Center,42.230336,-84.32597,Education : Other Education Programs and Services,http://www.nfsc.org/,nfsc.org,Education ,0.223,0.6351,1,0.62,1,0.6274,22.3,8.6,2744881,2937275,1,30.9
38,MI,michigan,org10060.htm,48208,Detroit,42.348937,-83.08994,"Human Services : Youth Development, Shelter, and Crisis Services",http://www.covenanthousemi.org/,covenanthousemi.org,Human Services ,0.047,0.8985,3,1,4,0.9282,4.7,8.4,3908868,4907277,4,13.1
39,MN,minnesota,org10062.htm,55401,Minneapolis,44.984615,-93.27137,Human Services : Multipurpose Human Service Organizations,http://www.specialolympicsminnesota.org/,specialolympicsminnesota.org,Human Services ,0.281,0.7692,2,0.85,3,0.8053,28.1,2.5,5443958,5407937,3,30.6
40,MN,minnesota,org10063.htm,55117,Saint Paul,44.989065,-93.10666,Human Services : Children's and Family Services,http://www.thinksmall.org/,thinksmall.org,Human Services ,0.027,0.8808,3,0.96,4,0.911,2.7,7.7,7247407,9674989,4,10.4
41,MO,missouri,org10067.htm,64106,Kansas City,39.103704,-94.57311,Human Services : Homeless Services,http://www.restartinc.org/,restartinc.org,Human Services ,0.064,0.8938,3,0.93,4,0.91,6.4,14.7,3551153,3660219,4,21.1
42,KS,kansas,org10068.htm,66211,Shawnee Mission,38.925159,-94.64136,Community Development : Fundraising,http://www.jewishkansascity.org,jewishkansascity.org,Community Development ,0.074,0.7767,2,0.93,4,0.8345,7.4,10.1,5085336,6660333,3,17.5
43,KS,kansas,org10069.htm,66211,Shawnee Mission,38.925159,-94.64136,Health : Treatment and Prevention Services,http://www.aafpfoundation.org/,aafpfoundation.org,Health ,0.121,0.8091,3,0.96,4,0.862,12.1,8.7,5640662,7210423,3,20.8
44,DE,delaware,org10072.htm,19805,Wilmington,39.745377,-75.58251,"Human Services : Youth Development, Shelter, and Crisis Services",http://bgclubs.org/,bgclubs.org,Human Services ,0.071,0.9381,4,0.78,2,0.8383,7.1,5.5,8035250,18160562,3,12.6
45,NA,NA,org10074.htm,20001,Washington,38.907711,-77.01732,Research and Public Policy : Social and Public Policy Research,http://www.cnponline.org/,cnponline.org,Research and Public Policy ,0.217,0.7939,2,0.89,3,0.8348,21.7,13.7,1933552,1945312,3,35.4
46,MD,maryland,org10075.htm,21218,Baltimore,39.325956,-76.60602,Human Services : Social Services,http://www.hruth.org/,hruth.org,Human Services ,0.057,0.942,4,0.86,3,0.8928,5.7,8.4,5659908,6742571,3,14.1
47,CO,colorado,org10076.htm,80211,Denver,39.767536,-105.01973,"Environment : Botanical Gardens, Parks, and Nature Centers",http://www.earthforce.org/,earthforce.org,Environment ,0.059,0.7551,2,1,4,0.8268,5.9,4.6,1599575,1654085,3,10.5
48,NA,NA,org10079.htm,20036,Washington,38.906778,-77.04148,Education : Other Education Programs and Services,http://www.societyforscience.org/,societyforscience.org,Education ,0.039,0.9021,4,0.97,4,0.9275,3.9,5.7,4941020,11987435,4,9.6
49,VA,virginia,org10080.htm,22630,Front Royal,38.926615,-78.17499,Research and Public Policy : Social and Public Policy Research,http://www.pop.org/,pop.org,Research and Public Policy ,0.233,0.7723,2,0.59,1,0.6683,23.3,4.3,1475734,1477544,1,27.6
50,NC,north carolina,org10081.htm,27603,Raleigh,35.716105,-78.65734,"Animals : Animal Rights, Welfare, and Services",http://www.spcawake.org,spcawake.org,Animals ,0.035,0.7852,2,1,4,0.8481,3.5,11.2,1910091,2104208,3,14.7
51,NC,north carolina,org10082.htm,27312,Pittsboro,35.756091,-79.17848,Environment : Environmental Protection and Conservation,http://www.rafiusa.org/,rafiusa.org,Environment ,0.044,0.8318,3,1,4,0.881,4.4,13.5,1408406,1831602,3,17.9
52,NC,north carolina,org10083.htm,28206,Charlotte,35.248292,-80.82748,Human Services : Homeless Services,http://www.urbanministrycenter.org/,urbanministrycenter.org,Human Services ,0.032,0.9496,4,0.77,2,0.8335,3.2,4.7,3660527,4089966,3,7.9
53,SC,south carolina,org10084.htm,29325,Clinton,34.470115,-81.86761,Human Services : Children's and Family Services,http://www.thornwell.org/,thornwell.org,Human Services ,0.092,0.7476,2,0.97,4,0.8202,9.2,11.6,4811586,4789004,3,20.8
54,NC,north carolina,org10085.htm,28450,Lake Waccamaw,34.319538,-78.51678,Human Services : Children's and Family Services,http://www.boysandgirlshomesofnc.com/,boysandgirlshomesofnc.com,Human Services ,0.046,0.9856,4,0.81,3,0.8652,4.6,9.6,8656359,9286751,3,14.2
55,LA,louisiana,org10087.htm,70501,Lafayette,30.2334,-92.00959,Human Services : Social Services,http://www.acadianaoutreach.org/,acadianaoutreach.org,Human Services ,0.065,0.6634,1,0.74,2,0.6992,6.5,29.9,503102,459629,1,36.4
56,GA,georgia,org10088.htm,30062,Marietta,33.99605,-84.47464,Religion : Religious Media and Broadcasting,http://rightfromtheheart.org/,rightfromtheheart.org,Religion ,0.063,0.9324,4,0.89,3,0.9087,6.3,9.6,1208463,1207514,4,15.9
57,GA,georgia,org10089.htm,30303,Atlanta,33.752856,-84.39013,Human Services : Homeless Services,http://www.safehouseoutreach.org,safehouseoutreach.org,Human Services ,0.039,0.7397,2,0.81,3,0.7721,3.9,6.2,733114,777327,2,10.1
58,GA,georgia,org10090.htm,30006,Marietta,33.912473,-84.557181,International : Foreign Charity Support Organizations,http://www.dmf.org,dmf.org,International ,0.037,0.7923,2,0.96,4,0.8504,3.7,3.8,723304,724220,3,7.5
59,FL,florida,org10091.htm,34232,Sarasota,27.321313,-82.47648,Community Development : Fundraising,http://www.smjf.org,smjf.org,Community Development ,0.068,0.8464,3,0.93,4,0.8806,6.8,4.1,3225750,4086509,3,10.9
60,FL,florida,org10092.htm,32301,Tallahassee,30.431283,-84.26903,Environment : Environmental Protection and Conservation,http://www.1000fof.org/,1000fof.org,Environment ,0.044,0.8391,3,1,4,0.8862,4.4,6.4,430741,608188,3,10.8
61,FL,florida,org10093.htm,32303,Tallahassee,30.486061,-84.31528,Community Development : Fundraising,http://www.uwbb.org,uwbb.org,Community Development ,0.095,0.6566,1,0.89,3,0.745,9.5,8.7,4694335,5104696,2,18.2
62,FL,florida,org10094.htm,34230,Sarasota,27.335023,-82.537169,"Human Services : Youth Development, Shelter, and Crisis Services",http://www.boysandgirlsclubs.com/,boysandgirlsclubs.com,Human Services ,0.069,0.7815,2,0.89,3,0.827,6.9,10.4,2514714,3454388,3,17.3
63,KY,kentucky,org10095.htm,40205,Louisville,38.22292,-85.68326,Community Development : Fundraising,http://www.jewishlouisville.org,jewishlouisville.org,Community Development ,0.035,0.8728,3,1,4,0.91,3.5,7.8,4609846,7706622,4,11.3
64,TN,tennessee,org10096.htm,37416,Chattanooga,35.089805,-85.18152,"Arts, Culture, Humanities : Public Broadcasting and Media",http://wtcitv.org/,wtcitv.org,"Arts, Culture, Humanities ",0.102,0.7831,2,1,4,0.8466,10.2,8.6,2139512,2285145,3,18.8
65,AL,alabama,org10097.htm,35801,Huntsville,34.72879,-86.57316,Community Development : Fundraising,http://www.uwhsv.org/,uwhsv.org,Community Development ,0.092,0.8287,3,0.84,3,0.8342,9.2,7.5,6377222,6542760,3,16.7
66,AR,arkansas,org10099.htm,72503,Batesville,35.734617,-91.534303,Human Services : Children's and Family Services,http://www.youthranches.com/,youthranches.com,Human Services ,0.169,0.6937,1,0.66,1,0.6764,16.9,14.3,1910827,2089692,1,31.2
67,LA,louisiana,org10101.htm,71203,Monroe,32.547067,-92.04384,Human Services : Children's and Family Services,http://www.lbch.org/,lbch.org,Human Services ,0.122,0.9279,4,0.71,2,0.7886,12.2,9.8,5476423,7156181,2,22
68,OK,oklahoma,org10102.htm,74106,Tulsa,36.184692,-95.98512,Human Services : Homeless Services,http://www.john316mission.org/,john316mission.org,Human Services ,0.177,0.9005,4,1,4,0.9296,17.7,6.6,7464301,7525559,4,24.3
69,TX,texas,org10105.htm,78701,Austin,30.27127,-97.74103,Research and Public Policy : Social and Public Policy Research,http://www.texaspolicy.com/,texaspolicy.com,Research and Public Policy ,0.116,0.9574,4,0.89,3,0.9165,11.6,5.8,7271035,7612280,4,17.4
70,TX,texas,org10106.htm,75360,Dallas,32.767268,-96.777626,Health : Patient and Family Support,http://www.cancersupporttexas.org/,cancersupporttexas.org,Health ,0.128,0.7495,2,0.89,3,0.8065,12.8,7.7,651794,651839,3,20.5
71,MT,montana,org10109.htm,59101,Billings,45.737525,-108.48754,Environment : Environmental Protection and Conservation,http://www.northernplains.org/,northernplains.org,Environment ,0.046,0.9891,4,0.92,4,0.9429,4.6,6.1,1037498,1163271,4,10.7
72,CO,colorado,org10110.htm,80204,Denver,39.734686,-105.01966,"Human Services : Youth Development, Shelter, and Crisis Services",http://www.GreatFuturesDenver.org,greatfuturesdenver.org,Human Services ,0.152,0.9016,4,1,4,0.9304,15.2,8,16255296,18683023,4,23.2
73,NM,new mexico,org10113.htm,87501,Santa Fe,35.755312,-105.99936,"Arts, Culture, Humanities : Museums",http://www.sitesantafe.org,sitesantafe.org,"Arts, Culture, Humanities ",0.134,0.8281,3,0.89,3,0.8556,13.4,19.1,1714084,2136835,3,32.5
74,NM,new mexico,org10114.htm,87125,Albuquerque,35.044339,-106.672872,Environment : Environmental Protection and Conservation,http://www.nmwild.org/,nmwild.org,Environment ,0.104,0.6504,1,0.96,4,0.7511,10.4,15,943684,966898,2,25.4
75,WA,washington,org10119.htm,98144,Seattle,47.58577,-122.30081,Human Services : Children's and Family Services,http://www.treehouse4kids.org/,treehouse4kids.org,Human Services ,0.136,0.8619,3,1,4,0.9023,13.6,6.1,5585555,7390046,4,19.7
76,WA,washington,org10120.htm,98104,Seattle,47.60252,-122.32855,Human Services : Homeless Services,http://www.breadoflifemission.org/,breadoflifemission.org,Human Services ,0.132,0.875,3,0.55,1,0.6697,13.2,9,2986827,3278877,1,22.2
77,AK,alaska,org10121.htm,99687,Wasilla,61.391728,-149.99002,Environment : Environmental Protection and Conservation,http://www.iditarod.com,iditarod.com,Environment ,0.328,0.4702,0,0.62,1,0.5389,32.8,18,1653173,3312062,0,50.8
78,OR,oregon,org10123.htm,97239,Portland,45.488031,-122.693796,Human Services : Multipurpose Human Service Organizations,http://www.soor.org,soor.org,Human Services ,0.266,0.6873,1,0.93,4,0.7734,26.6,8.9,4592879,4571059,2,35.5
79,OR,oregon,org10124.htm,97213,Portland,45.53704,-122.59979,Community Development : Fundraising,http://oregon.providence.org/patients/programs/providence-child-center-foundation/Pages/default.aspx,oregon.providence.org,Community Development ,0.119,0.8879,3,0.9,4,0.8937,11.9,4.5,2618409,2664864,3,16.4
80,CA,california,org10127.htm,94105,San Francisco,37.789228,-122.3957,Research and Public Policy : Social and Public Policy Research,http://www.spur.org/,spur.org,Research and Public Policy ,0.143,0.9227,4,0.9,4,0.9106,14.3,12.9,3289140,3315775,4,27.2
81,CA,california,org10128.htm,94612,Oakland,37.809427,-122.27172,"Human Services : Youth Development, Shelter, and Crisis Services",http://www.girlsinc-alameda.org/,girlsinc-alameda.org,Human Services ,0.096,0.8903,3,1,4,0.9224,9.6,5,6317724,8998456,4,14.6
82,NV,nevada,org10129.htm,89102,Las Vegas,36.145303,-115.18358,Human Services : Social Services,http://www.safenest.org,safenest.org,Human Services ,0.183,0.6264,1,1,4,0.7358,18.3,5.1,4457677,4807788,2,23.4
83,WA,washington,org10131.htm,98507,Olympia,46.978118,-122.702393,Research and Public Policy : Social and Public Policy Research,http://myfreedomfoundation.com/,myfreedomfoundation.com,Research and Public Policy ,0.068,0.7067,2,0.85,3,0.767,6.8,8.6,1357097,1766236,2,15.4
84,MN,minnesota,org10132.htm,55423,Minneapolis,44.877164,-93.28124,Religion : Religious Activities,http://www.pff.net/,pff.net,Religion ,0.076,0.8273,3,0.89,3,0.8552,7.6,11.9,1379568,1417446,3,19.5
85,CA,california,org10133.htm,92603,Irvine,33.648871,-117.764637,Community Development : Fundraising,http://www.jewishorangecounty.org/,jewishorangecounty.org,Community Development ,0.075,0.9621,4,1,4,0.9732,7.5,5.3,5554035,5690156,4,12.8
86,CA,california,org10134.htm,92069,San Marcos,33.144908,-117.17128,Human Services : Children's and Family Services,http://www.casadeamparo.org/,casadeamparo.org,Human Services ,0.112,0.8474,3,1,4,0.892,11.2,1,1764642,5284136,3,12.2
87,CA,california,org10135.htm,93103,Santa Barbara,34.428191,-119.68412,"Arts, Culture, Humanities : Performing Arts",http://sbbowl.com/,sbbowl.com,"Arts, Culture, Humanities ",0.148,0.927,4,0.81,3,0.856,14.8,8.3,6356789,8227210,3,23.1
88,CA,california,org10136.htm,90017,Los Angeles,34.052561,-118.26434,Human and Civil Rights : Advocacy and Education,http://www.operationhope.org,operationhope.org,Human and Civil Rights ,0.134,0.6328,1,0.93,4,0.7356,13.4,21.9,7000314,7035202,2,35.3
89,CA,california,org10139.htm,90017,Los Angeles,34.052561,-118.26434,Community Development : Housing and Neighborhood Development,http://www.laane.org/,laane.org,Community Development ,0.072,0.9592,4,0.89,3,0.917,7.2,8.4,3980190,3993537,4,15.6
90,VT,vermont,org10141.htm,5154,Saxtons River,43.139961,-72.50844,Education : Private Elementary and Secondary Schools,http://www.vermontacademy.org,vermontacademy.org,Education ,0.037,0.8023,3,0.85,3,0.8245,3.7,13,799624,11786915,3,16.7
91,PA,pennsylvania,org10142.htm,19103,Philadelphia,39.952162,-75.17406,"Health : Diseases, Disorders, and Disciplines",http://www.nationalmssociety.org/Chapters/PAE,nationalmssociety.org,Health ,0.14,0.7898,2,0.97,4,0.8498,14,5.3,9822206,9965885,3,19.3
92,IL,illinois,org10143.htm,61102,Rockford,42.25517,-89.1297,Human Services : Homeless Services,http://www.rockfordrescuemission.org/index.php,rockfordrescuemission.org,Human Services ,0.135,0.8905,3,0.9,4,0.8951,13.5,5.4,4518219,5939390,3,18.9
93,TX,texas,org10144.htm,75215,Dallas,32.76103,-96.77035,Human Services : Homeless Services,http://www.dallaslife.org,dallaslife.org,Human Services ,0.156,0.7991,2,0.93,4,0.8495,15.6,7.6,2404581,2659694,3,23.2
94,NY,new york,org10147.htm,10036,New York,40.759511,-73.99019,International : Foreign Charity Support Organizations,http://migdalohrusa.org,migdalohrusa.org,International ,0.12,0.8064,3,0.92,4,0.8518,12,3.8,4749911,4750126,3,15.8
95,WA,washington,org10149.htm,98121,Seattle,47.61487,-122.34578,Human Services : Social Services,http://www.millionairclub.org/,millionairclub.org,Human Services ,0.075,0.872,3,1,4,0.9094,7.5,3.6,1352618,1683830,4,11.1
96,CA,california,org10151.htm,92617,Irvine,33.63,-117.83,Education : Other Education Programs and Services,http://www.mindresearch.org/,mindresearch.org,Education ,0.084,0.8361,3,1,4,0.8841,8.4,5.3,5403595,24278675,3,13.7
97,OH,ohio,org10152.htm,43040,Marysville,40.255973,-83.36391,Community Development : Fundraising,http://www.unitedwayofunioncounty.org,unitedwayofunioncounty.org,Community Development ,0.094,0.8984,3,0.89,3,0.8941,9.4,11,818476,819863,3,20.4
98,NY,new york,org10153.htm,14618,Rochester,43.116713,-77.55904,Human Services : Multipurpose Human Service Organizations,http://www.jccrochester.org,jccrochester.org,Human Services ,0.032,0.9628,4,1,4,0.9736,3.2,10.7,5105458,10435698,4,13.9
99,TX,texas,org10154.htm,77515,Angleton,29.16866,-95.44541,Community Development : Fundraising,http://www.uwbc.org,uwbc.org,Community Development ,0.053,0.8937,3,1,4,0.9248,5.3,8.6,2771190,2848599,4,13.9
100,MS,mississippi,org10155.htm,39202,Jackson,32.313595,-90.17688,"Human Services : Youth Development, Shelter, and Crisis Services",http://www.bsa-jackson.org/,bsa-jackson.org,Human Services ,0.117,0.8775,3,0.77,2,0.8157,11.7,12.4,1397428,2666527,3,24.1
101,MN,minnesota,org10156.htm,55603,Finland,47.502703,-91.20122,Environment : Environmental Protection and Conservation,http://www.organicconsumers.org/,organicconsumers.org,Environment ,0.087,0.9073,4,0.77,2,0.8246,8.7,8.8,1888720,1888971,3,17.5
102,IL,illinois,org10157.htm,60653,Chicago,41.819833,-87.61269,Education : Other Education Programs and Services,http://www.projectexploration.org,projectexploration.org,Education ,0.148,0.6471,1,0.96,4,0.7488,14.8,12.9,407951,442562,2,27.7
103,NA,NA,org10158.htm,20006,Washington,38.897567,-77.04195,"Health : Diseases, Disorders, and Disciplines",http://www.womenheart.org/,womenheart.org,Health ,0.049,0.7673,2,0.92,4,0.826,4.9,28.9,3665099,3687124,3,33.8
104,NY,new york,org10159.htm,10001,New York,40.750742,-73.99653,Human Services : Children's and Family Services,http://www.childrensrights.org/,childrensrights.org,Human Services ,0.127,0.7541,2,0.93,4,0.8192,12.7,8.1,1212982,2932966,3,20.8
105,MD,maryland,org10160.htm,20850,Rockville,39.093408,-77.1718,"Health : Diseases, Disorders, and Disciplines",http://www.aamds.org,aamds.org,Health ,0.064,0.9871,4,1,4,0.9908,6.4,6.3,7360504,7564470,4,12.7
106,NY,new york,org10161.htm,11223,Brooklyn,40.598142,-73.97229,Human Services : Social Services,http://www.sbhonline.org,sbhonline.org,Human Services ,0.068,0.9157,4,1,4,0.9403,6.8,20,5440237,5647000,4,26.8
107,PA,pennsylvania,org10163.htm,19443,Kulpsville,40.241004,-75.34392,Community Development : Fundraising,http://www.npuw.org,npuw.org,Community Development ,0.076,0.9306,4,0.96,4,0.9433,7.6,5.4,1927147,1978547,4,13
108,MA,massachusetts,org10166.htm,1845,North Andover,42.683841,-71.11171,Health : Patient and Family Support,http://www.angelflightne.org,angelflightne.org,Health ,0.071,0.7637,2,1,4,0.8329,7.1,5.1,545337,815680,3,12.2
109,NA,NA,org10167.htm,20036,Washington,38.906778,-77.04148,Human and Civil Rights : Advocacy and Education,http://www.vpc.org,vpc.org,Human and Civil Rights ,0.025,0.7757,2,0.74,2,0.7571,2.5,9.1,821355,822331,2,11.6
110,IL,illinois,org10168.htm,60611,Chicago,41.904667,-87.62504,Community Development : Fundraising,http://www.lynnsage.org,lynnsage.org,Community Development ,0.02,0.9047,4,0.93,4,0.9163,2,5.4,1185556,1668615,4,7.4
111,MO,missouri,org10169.htm,65109,Jefferson City,38.568287,-92.25329,Human Services : Multipurpose Human Service Organizations,http://www.somo.org,somo.org,Human Services ,0.112,0.8404,3,1,4,0.8871,11.2,3.3,3553053,4266848,3,14.5
112,CA,california,org10170.htm,90007,Los Angeles,34.026448,-118.2829,Human Services : Social Services,http://www.jtc.org,jtc.org,Human Services ,0.125,0.6717,1,1,4,0.7678,12.5,8.7,2683342,3354827,2,21.2
113,NH,new hampshire,org10171.htm,3301,Concord,43.213705,-71.53774,Community Development : Housing and Neighborhood Development,http://www.catchhousing.org/,catchhousing.org,Community Development ,0.101,0.6746,1,0.93,4,0.7646,10.1,15.2,379919,1123676,2,25.3
