,state,region,id,zip,city,latitude,longitude,type,url,domain,first.type,expense.percent,financial.rating,financial.rating.fye,accountability.rating,accountability.rating.fye,rating,fundraising.expense,admin.expense,contributions,revenue,rating.fye,overhead
1724,TX,texas,org12999.htm,75016,Irving,32.767268,-96.777626,International : Development and Relief Services,http://www.baitulmaal.org,baitulmaal.org,International ,0.109,0.9072,4,1,4,0.9343,10.9,6.7,1678033,1695220,4,17.6
1725,MT,montana,org13000.htm,59601,Helena,46.588803,-112.04193,Human Services : Social Services,http://www.indianlaw.org/,indianlaw.org,Human Services ,0.109,0.655,1,0.97,4,0.7551,10.9,28.8,788788,801184,2,39.7
1726,PA,pennsylvania,org13002.htm,19104,Philadelphia,39.961612,-75.19957,Education : Other Education Programs and Services,http://www.apaclassics.org,apaclassics.org,Education ,0.042,0.8783,3,0.93,4,0.9007,4.2,6,762598,1594371,4,10.2
1727,TX,texas,org13003.htm,78723,Austin,30.306507,-97.68651,Health : Patient and Family Support,http://www.rmhc-austin.org/,rmhc-austin.org,Health ,0.146,0.813,3,1,4,0.8677,14.6,7.6,1045361,1583749,3,22.2
1728,PA,pennsylvania,org13004.htm,19107,Philadelphia,39.952112,-75.15853,Human Services : Social Services,http://www.careerwardrobe.org,careerwardrobe.org,Human Services ,0.025,0.8194,3,0.85,3,0.8339,2.5,6.5,1069666,1352596,3,9
1729,MI,michigan,org13007.htm,48915,Lansing,42.737701,-84.57106,Human Services : Children's and Family Services,http://www.elesplace.org,elesplace.org,Human Services ,0.058,0.9654,4,0.89,3,0.9184,5.8,10.6,1803457,1822038,4,16.4
1730,IL,illinois,org13008.htm,60654,Chicago,41.888627,-87.63538,Community Development : Fundraising,http://amafoundation.org,amafoundation.org,Community Development ,0.176,0.7506,2,1,4,0.8236,17.6,26.5,2064192,4017201,3,44.1
1731,CA,california,org13009.htm,95032,Los Gatos,37.241193,-121.9534,Education : Other Education Programs and Services,http://www.youthscience.org,youthscience.org,Education ,0.18,0.6876,1,1,4,0.779,18,21.3,796045,1346903,2,39.3
1732,MN,minnesota,org13010.htm,55912,Austin,43.671988,-92.97908,Community Development : Fundraising,http://www.uwmower.org,uwmower.org,Community Development ,0.028,0.9556,4,0.92,4,0.9353,2.8,5,1407997,1411570,4,7.8
1733,CO,colorado,org13011.htm,80435,Dillon,39.607479,-105.97937,Research and Public Policy : Social and Public Policy Research,http://www.keystone.org,keystone.org,Research and Public Policy ,0.04,0.7572,2,0.89,3,0.8115,4,17.7,3682030,7278594,3,21.7
1734,PA,pennsylvania,org13015.htm,19312,Berwyn,40.037958,-75.44986,"Health : Diseases, Disorders, and Disciplines",http://www.nephcure.org,nephcure.org,Health ,0.132,0.7117,2,0.93,4,0.7902,13.2,3.9,2184438,2461443,2,17.1
1735,CO,colorado,org13018.htm,80210,Denver,39.679437,-104.96473,Education : Other Education Programs and Services,http://www.seedsofhopetrust.org,seedsofhopetrust.org,Education ,0.092,0.8278,3,0.96,4,0.8749,9.2,7.5,1673903,1840328,3,16.7
1736,IL,illinois,org13021.htm,60477,Tinley Park,41.5738,-87.80389,Human Services : Social Services,http://www.togetherwecope.com/,togetherwecope.com,Human Services ,0.022,0.9444,4,0.93,4,0.9367,2.2,3.2,3671661,3815802,4,5.4
1737,CA,california,org13023.htm,94117,San Francisco,37.770937,-122.44276,Human Services : Children's and Family Services,http://www.sfcapc.org/,sfcapc.org,Human Services ,0.131,0.9253,4,0.96,4,0.94,13.1,11.5,4114290,4383317,4,24.6
1738,NY,new york,org13024.htm,10001,New York,40.750742,-73.99653,Human and Civil Rights : Advocacy and Education,http://www.cpj.org,cpj.org,Human and Civil Rights ,0.147,0.8291,3,0.89,3,0.8562,14.7,12.8,2592519,3049944,3,27.5
1739,AZ,arizona,org13025.htm,85282,Tempe,33.394067,-111.92873,Education : Other Education Programs and Services,http://www.jaaz.org/,jaaz.org,Education ,0.227,0.8222,3,0.92,4,0.8621,22.7,6.8,2870524,3125018,3,29.5
1740,TX,texas,org13026.htm,77235,Houston,29.83399,-95.434241,Religion : Religious Activities,http://www.nlai.org/,nlai.org,Religion ,0.063,0.9114,4,0.62,1,0.724,6.3,6.6,1814953,1817359,2,12.9
